Batch,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Collected on,2021/05/17 14:10:44,Analysis Instrument,PS019,Acquisition Software,,Stable 1.71.5,Reanalyzed  on,2021/05/17 15:09:51,Reanalysis Instrument,PS019,Reanalysis Software,Stable 1.71.5

Data,Batch,Data,Sample,Method,Analysis,Batch,Time,Sample,Vial,Initial,Sample,ColdFinger,Transducer,InletPiraniPressure,Sample,MaxPumpOverPressure,RawPumpOverPressure,Sample,Min,Max,Pre-balance,Pre-depleted,Final,Final,Depletion,Balance,Balance,RefBellowsPos,SamBellowsPos,Pirani,Current,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Sam,Ref,Ave,Ref Major,Sam Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Std,Rejected,Num,Delta(18),Std,Rejected,Num,DELTA,DELTA,DELTA,
Dir   ,Name   ,File   ,Name   ,  ,  ,Started   ,Collected   ,Weight   ,Location   ,Sam Beam   ,Yield   ,Status   ,Pressure   ,  ,Chops   ,  ,  ,Operations   ,Ref Beam   ,Ref Beam   ,Sam Beam   ,Ref Beam   ,Sam Beam   ,Ref Beam   ,Factor  ,End   ,%  ,  ,  ,Pressure   ,Mass   ,Length    ,Offset   ,Beams (0) ,Beams (1) ,Beams (2) ,Beams (3) ,Beams (4) ,Beams (5) ,Depletion   ,Depletion   ,Temperature   ,Signal(44),Signal(44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,Err,,,wrt PDB,Err,,,47,48,49,

C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13648 ETH-01.txt,ETH-01,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/17 14:10:44,485,1,1.7655e-07,3.640222E-10,CF,25.635,3.398e-02,1,3.5546e-02,14912, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.9698e-08,1.0559e-07,7.3125e-08,7.3368e-08,7.3334e-08,7.3060e-08,0.96,2021/05/17 14:09:58,0.38,5455,8450,3.3983e-02,46.013,20,0.000,-3.3089e-13,-1.4960e-13,-1.6796e-13,-8.8878e-14,3.5226e-14,7.1669e-12,21.00,22.00,72.32,4.69015e-08,4.66491e-08,1.20302e-02,4.2535e-03,4.9657e-05,4.7533e-06,8.1866e-08,1.1972e-02,4.2053e-03,4.8891e-05,4.6484e-06,8.1484e-08,4.8434,11.4675,15.6815,22.5557,4.6318,1.8683,0.0008,0,60,5.5015,0.0018,0,60,-0.6409,-0.4993,-22.6854,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13649 ETH-03.txt,ETH-03,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/17 15:33:10,544,2,2.0212e-07,3.715368E-10,CF,29.327,3.177e-02,1,2.9694e-02,14816, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.8793e-08,1.0596e-07,8.3659e-08,8.3149e-08,8.3066e-08,8.2819e-08,0.96,2021/05/17 15:32:25,0.30,4943,8447,3.1766e-02,46.011,20,0.000,-3.2999e-13,-1.4981e-13,-1.6733e-13,-8.2283e-14,5.2053e-14,8.3220e-12,22.00,22.00,72.39,5.22118e-08,5.18694e-08,1.20275e-02,4.2564e-03,4.9699e-05,4.7568e-06,8.2831e-08,1.1973e-02,4.2058e-03,4.8901e-05,4.6464e-06,8.3155e-08,4.5785,12.0267,16.3009,23.7595,-1.2617,1.5671,0.0009,0,60,6.0586,0.0016,0,60,-0.3038,-0.4283,-29.2025,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13650 ETH-02.txt,ETH-02,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/17 16:55:35,391,3,1.2999e-07,3.324627E-10,CF,19.531,3.249e-02,1,3.1060e-02,14752, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.8020e-08,1.0558e-07,5.4815e-08,5.5096e-08,5.5045e-08,5.4915e-08,0.96,2021/05/17 16:54:50,0.24,6456,8446,3.2488e-02,46.011,20,0.000,-3.2644e-13,-1.4892e-13,-1.6588e-13,-8.3678e-14,4.6223e-14,7.9152e-12,20.00,20.00,72.39,3.65738e-08,3.62637e-08,1.18867e-02,4.1837e-03,4.8305e-05,4.6112e-06,8.9427e-08,1.1971e-02,4.2051e-03,4.8934e-05,4.6591e-06,9.2085e-08,-7.0352,-5.1058,-12.8506,-10.2779,-29.4057,-10.1998,0.0009,0,60,-10.9657,0.0014,0,60,-0.6200,-0.0934,-12.1949,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13651 ETH-04.txt,ETH-04,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/17 18:17:50,529,4,2.0383e-08,3.853062E-11,CF,0.458,3.249e-02,0,3.1766e-02,14752, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; SampleReady; (BeamTooBig_RunningMisBalanced) ;,3.7403e-08,1.0603e-07,1.9568e-08,8.3149e-08,8.3066e-08,8.2819e-08,0.96,2021/05/17 18:16:52,-47.77,8397,8446,3.2488e-02,46.011,20,0.000,-3.2469e-13,-1.4829e-13,-1.6482e-13,-8.6618e-14,3.9947e-14,7.2607e-12,26.00,28.00,72.39,2.10097e-08,1.12298e-08,1.18795e-02,4.1802e-03,4.8362e-05,4.6475e-06,2.0944e-07,1.1968e-02,4.2036e-03,4.8967e-05,4.6709e-06,1.4285e-07,-7.3779,-5.5598,-12.3562,-5.0044,391.0675,-10.5488,0.0032,0,60,-11.4168,0.0078,0,60,0.6858,6.1528,417.5489,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13652 MERCK.txt,MERCK,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/17 19:39:57,408,5,1.4528e-07,3.560841E-10,CF,21.606,3.177e-02,1,3.1766e-02,14784, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.7072e-08,1.0552e-07,6.0926e-08,6.1176e-08,6.1124e-08,6.0993e-08,0.96,2021/05/17 19:39:12,0.22,5898,8446,3.1766e-02,46.011,20,0.000,-3.2062e-13,-1.4672e-13,-1.6283e-13,-8.2752e-14,4.4793e-14,7.5397e-12,20.00,21.00,72.39,4.00823e-08,3.97433e-08,1.15294e-02,4.1960e-03,4.6951e-05,4.6372e-06,8.8584e-08,1.1971e-02,4.2050e-03,4.8928e-05,4.6575e-06,9.2817e-08,-36.8684,-2.1605,-40.4092,-4.3604,-45.4928,-42.0526,0.0011,0,60,-7.9697,0.0015,0,60,-0.3883,-0.0446,-2.3198,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13653 30-RJS-5159.1A.txt,30-RJS-5159.1A,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/17 21:02:05,514,6,1.7109e-07,3.328596E-10,CF,25.268,3.177e-02,1,3.1766e-02,14752, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.6418e-08,1.0576e-07,7.1072e-08,7.1260e-08,7.1220e-08,7.0981e-08,0.96,2021/05/17 21:01:19,0.34,5242,8446,3.1766e-02,46.007,20,0.000,-3.1855e-13,-1.4596e-13,-1.6185e-13,-7.9073e-14,5.2428e-14,8.0958e-12,21.00,22.00,72.39,4.57625e-08,4.54174e-08,1.20445e-02,4.2623e-03,4.9862e-05,4.7772e-06,8.3650e-08,1.1971e-02,4.2052e-03,4.8918e-05,4.6524e-06,8.3912e-08,6.1303,13.5683,19.3161,26.8408,0.2549,3.1655,0.0011,0,60,7.5893,0.0018,0,60,-0.4297,-0.4672,-32.2247,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13654 30-RJS-5159.1B.txt,30-RJS-5159.1B,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/17 22:24:21,530,7,1.9038e-07,3.591993E-10,CF,27.923,3.177e-02,1,3.1766e-02,14752, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.5735e-08,1.0544e-07,7.8808e-08,7.8507e-08,7.8425e-08,7.8233e-08,0.96,2021/05/17 22:23:36,0.24,4848,8446,3.1766e-02,46.009,20,0.000,-3.1500e-13,-1.4454e-13,-1.6000e-13,-7.5728e-14,5.7435e-14,8.2979e-12,22.00,22.00,72.39,4.97452e-08,4.93454e-08,1.20501e-02,4.2698e-03,4.9970e-05,4.7946e-06,7.8167e-08,1.1971e-02,4.2054e-03,4.8918e-05,4.6534e-06,7.8064e-08,6.5750,15.3152,21.5000,30.3366,2.3484,3.5786,0.0009,0,60,9.3268,0.0020,0,60,-0.4396,-0.5126,-33.9327,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13655 30-RJS-5159.1C.txt,30-RJS-5159.1C,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/17 23:46:38,461,8,1.0832e-08,2.349648E-11,CF,0.305,3.177e-02,0,3.1060e-02,14752, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; SampleReady; (BeamTooBig_RunningMisBalanced) ;,3.5048e-08,1.0585e-07,1.0396e-08,7.1260e-08,7.1220e-08,7.0981e-08,0.96,2021/05/17 23:45:41,-70.09,8398,8444,3.1766e-02,46.009,20,0.000,-3.1341e-13,-1.4378e-13,-1.5910e-13,-8.1223e-14,4.5168e-14,7.3296e-12,25.00,28.00,72.39,1.98378e-08,6.34473e-09,1.20431e-02,4.2647e-03,5.0094e-05,4.8845e-06,3.0561e-07,1.1967e-02,4.2031e-03,4.8967e-05,4.6780e-06,1.4089e-07,6.3868,14.6404,23.0104,44.1032,1013.7749,3.4016,0.0025,0,60,8.6556,0.0102,0,60,1.8867,14.1905,943.8711,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13656 ETH-03.txt,ETH-03,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/18 01:08:57,470,9,1.9898e-08,4.233687E-11,CF,0.549,3.177e-02,0,3.1060e-02,14752, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; SampleReady; (BeamTooBig_RunningMisBalanced) ;,3.4670e-08,1.0562e-07,1.9100e-08,7.8507e-08,7.8425e-08,7.8233e-08,0.96,2021/05/18 01:08:00,-45.05,8396,8449,3.1766e-02,46.009,20,0.000,-3.0940e-13,-1.4237e-13,-1.5719e-13,-8.1852e-14,4.1109e-14,6.8718e-12,26.00,28.00,72.39,1.96700e-08,1.09640e-08,1.20211e-02,4.2542e-03,4.9714e-05,4.7384e-06,-3.8673e-08,1.1967e-02,4.2031e-03,4.8908e-05,4.6311e-06,5.0234e-09,4.5487,12.1563,16.4772,23.0549,-2734.2481,1.5310,0.0031,0,60,6.1876,0.0114,0,60,-0.2258,-1.3729,-2685.7965,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13657 ETH-02.txt,ETH-02,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/18 02:31:11,413,10,1.4063e-07,3.405178E-10,CF,21.057,3.249e-02,1,3.1766e-02,14752, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.4324e-08,1.0533e-07,5.9038e-08,5.9288e-08,5.9246e-08,5.9104e-08,0.96,2021/05/18 02:30:26,0.24,5698,8450,3.2488e-02,46.009,20,0.000,-3.1611e-13,-1.4521e-13,-1.6018e-13,-8.1847e-14,4.6009e-14,7.3788e-12,20.00,21.00,72.39,3.89989e-08,3.87037e-08,1.18866e-02,4.1837e-03,4.8234e-05,4.5538e-06,-3.3887e-08,1.1971e-02,4.2050e-03,4.8865e-05,4.6018e-06,-2.9177e-08,-7.0170,-5.0619,-12.9117,-10.4499,-10.3170,-10.1820,0.0007,0,60,-10.9220,0.0012,0,60,-0.7441,-0.3554,7.1225,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13658 30-RJS-5159.1D.txt,30-RJS-5159.1D,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/18 04:00:29,635,11,4.1431e-08,6.524625E-11,CF,5.249,3.476e-02,0,3.2488e-02,14784, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; SampleReady; (BeamTooBig_RunningMisBalanced) ;,4.2441e-08,1.0579e-07,3.9787e-08,7.8507e-08,7.8425e-08,7.8233e-08,0.96,2021/05/18 03:59:31,-7.80,8397,8448,3.4756e-02,46.009,20,0.000,-3.2378e-13,-1.4871e-13,-1.6448e-13,-8.5890e-14,4.0680e-14,7.3761e-12,29.00,28.00,72.39,2.33752e-08,2.06548e-08,1.20492e-02,4.2708e-03,4.9988e-05,4.7497e-06,-2.6032e-08,1.1969e-02,4.2044e-03,4.8907e-05,4.6081e-06,-1.3223e-08,6.6991,15.7972,22.1062,30.6919,176.1695,3.6941,0.0027,0,60,9.8062,0.0084,0,60,-0.4405,-1.1167,132.4191,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13659 30-RJS-5159.1E.txt,30-RJS-5159.1E,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/18 05:22:45,450,12,1.4861e-07,3.302458E-10,CF,22.400,3.249e-02,1,3.2488e-02,14816, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,4.2005e-08,1.0554e-07,6.2214e-08,6.2493e-08,6.2446e-08,6.2287e-08,0.96,2021/05/18 05:22:00,0.25,6347,8448,3.2488e-02,46.013,20,0.000,-3.2794e-13,-1.5090e-13,-1.6644e-13,-8.6031e-14,4.3505e-14,7.6863e-12,21.00,21.00,72.39,4.08234e-08,4.05417e-08,1.20514e-02,4.2735e-03,5.0005e-05,4.7866e-06,4.0669e-08,1.1972e-02,4.2058e-03,4.8915e-05,4.6381e-06,4.1945e-08,6.6432,16.0845,22.2787,32.0176,-37.9834,3.6247,0.0009,0,60,10.0922,0.0021,0,60,-0.4928,-0.3972,-74.2520,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13660 30-RJS-5159.1F.txt,30-RJS-5159.1F,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/18 06:44:59,454,13,1.5226e-07,3.35374E-10,CF,22.522,3.249e-02,1,3.2488e-02,14784, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,4.1362e-08,1.0605e-07,6.3633e-08,6.3875e-08,6.3823e-08,6.3694e-08,0.96,2021/05/18 06:44:13,0.20,6189,8448,3.2488e-02,46.013,20,0.000,-3.2807e-13,-1.5080e-13,-1.6663e-13,-8.4486e-14,4.6635e-14,7.9277e-12,21.00,21.00,72.39,4.16378e-08,4.13260e-08,1.20507e-02,4.2733e-03,5.0026e-05,4.7983e-06,8.7625e-08,1.1972e-02,4.2058e-03,4.8941e-05,4.6505e-06,8.8138e-08,6.5902,16.0345,22.1751,31.7807,-6.1920,3.5701,0.0010,0,60,10.0425,0.0022,0,60,-0.4914,-0.5282,-43.5126,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13661 ETH-01.txt,ETH-01,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/18 08:06:24,530,14,1.9772e-07,3.730525E-10,CF,28.870,3.249e-02,1,3.2488e-02,14784, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,4.0640e-08,1.0592e-07,8.1827e-08,8.2547e-08,8.2483e-08,8.2264e-08,0.96,2021/05/18 08:05:39,0.27,5131,8448,3.2488e-02,46.013,20,0.000,-3.2735e-13,-1.5038e-13,-1.6604e-13,-8.1098e-14,5.2106e-14,8.3399e-12,22.00,22.00,72.39,5.19136e-08,5.16520e-08,1.20310e-02,4.2549e-03,4.9685e-05,4.7412e-06,5.6730e-08,1.1973e-02,4.2061e-03,4.8913e-05,4.6351e-06,5.7867e-08,4.8760,11.6042,15.7775,22.8872,-19.0707,1.8983,0.0008,0,60,5.6374,0.0015,0,60,-0.7128,-0.4455,-46.0300,
