Batch,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Collected on,2021/05/17 14:10:44,Analysis Instrument,PS019,Acquisition Software,Stable 1.71.5,Reanalyzed  on,2021/05/17 15:09:51,Reanalysis Instrument,PS019,Reanalysis Software,Stable 1.71.5


Data,Batch,Data,Sample,Method,Analysis,Batch,Time,Sample,Vial,Initial,Sample,ColdFinger,Transducer,InletPiraniPressure,Sample,MaxPumpOverPressure,RawPumpOverPressure,Sample,Min,Max,Pre-balance,Pre-depleted,Final,Final,Depletion,Balance,Balance,RefBellowsPos,SamBellowsPos,Pirani,Current,Num,CO,Cycle,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Zero,Sam,Ref,Ave,Water,Water,Ave, StdDev, Min, Max, Started, Stopped, Num,Ref Major,Std,Rejected,Num,Sam Major,Std,Rejected,Num,Sample,Std,Rejected,Num,Sample,Std,Rejected,Num,Sample,Std,Rejected,Num,Sample,Std,Rejected,Num,Sample,Std,Rejected,Num,Ref,Std,Rejected,Num,Ref,Std,Rejected,Num,Ref,Std,Rejected,Num,Ref,Std,Rejected,Num,Ref,Std,Rejected,Num,Raw,Std,Rejected,Num,Raw,Std,Rejected,Num,Raw,Std,Rejected,Num,Raw,Std,Rejected,Num,Raw,Std,Rejected,Num,Delta(13),Std,Rejected,Num,Delta(18),Std,Rejected,Num,DELTA,Std,Rejected,Num,DELTA,Std,Rejected,Num,DELTA,Std,Rejected,Num,
Dir  ,Name  ,File  ,Name  , , ,Started  ,Collected  ,Weight  ,Location  ,Sam Beam  ,Yield  ,Status  ,Pressure  , ,Chops  , , ,Operations  ,Ref Beam  ,Ref Beam  ,Sam Beam  ,Ref Beam  ,Sam Beam  ,Ref Beam  ,Factor ,End  ,% , , ,Pressure  ,Mass  ,CO Cycles   ,Delay Time  ,Length  ,Length   ,Offset  ,Beams (0) ,Beams (1) ,Beams (2) ,Beams (3) ,Beams (4) ,Beams (5) ,Depletion  ,Depletion  ,Temperature  ,Trap Temperature Hot ,Trap Temperature Cold ,Temp, , ,,,,,Signal(44),Dev,,,Signal(44),Dev,,,Ratio(45/44),Dev,,,Ratio(46/44),Dev,,,Ratio(47/44),Dev,,,Ratio(48/44),Dev,,,Ratio(49/44),Dev,,,Ratio(45/44),Dev,,,Ratio(46/44),Dev,,,Ratio(47/44),Dev,,,Ratio(48/44),Dev,,,Ratio(49/44),Dev,,,Delta(45/44),Err,,,Delta(46/44),Err,,,Delta(47/44),Err,,,Delta(48/44),Err,,,Delta(49/44),Err,,,wrt PDB,Err,,,wrt PDB,Err,,,47,Err,,,48,Err,,,49,Err,,,

C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13648 ETH-01.txt,ETH-01,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/17 14:10:44,485,1,1.7655e-07,3.640222E-10,CF,25.635,3.398e-02,1,3.5546e-02,14912, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.9698e-08,1.0559e-07,7.3125e-08,7.3368e-08,7.3334e-08,7.3060e-08,0.96,2021/05/17 14:09:58,0.38,5455,8450,3.3983e-02,46.013,20,8,20,20,0.000,-3.3089e-13,-1.4960e-13,-1.6796e-13,-8.8878e-14,3.5226e-14,7.1669e-12,21.00,22.00,72.32,-1.95e02,-1.55e02,72.32,0.14,71.89,72.39,2021/05/17 13:13:00,2021/05/17 14:10:24,116,4.69015e-08,0.000,0,63,4.66491e-08,1.47013e-09,0,60,1.20302e-02,1.18725e-07,0,60,4.2535e-03,3.2144e-08,0,60,4.9657e-05,3.0890e-09,0,60,4.7533e-06,9.0237e-10,0,60,8.1866e-08,1.0974e-09,0,60,1.1972e-02,1.1508e-07,0,63,4.2053e-03,3.1084e-08,0,63,4.8891e-05,3.1590e-09,0,63,4.6484e-06,8.8726e-10,0,63,8.1484e-08,1.1305e-09,0,63,4.8434,0.0007,0,60,11.4675,0.0018,0,60,15.6815,0.0123,0,60,22.5557,0.0470,0,60,4.6318,4.0634,0,60,1.8683,0.0008,0,60,5.5015,0.0018,0,60,-0.6409,0.0117,0,60,-0.4993,0.0463,0,60,-22.6854,3.9529,0,60,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13649 ETH-03.txt,ETH-03,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/17 15:33:10,544,2,2.0212e-07,3.715368E-10,CF,29.327,3.177e-02,1,2.9694e-02,14816, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.8793e-08,1.0596e-07,8.3659e-08,8.3149e-08,8.3066e-08,8.2819e-08,0.96,2021/05/17 15:32:25,0.30,4943,8447,3.1766e-02,46.011,20,8,20,20,0.000,-3.2999e-13,-1.4981e-13,-1.6733e-13,-8.2283e-14,5.2053e-14,8.3220e-12,22.00,22.00,72.39,-1.95e02,-1.68e02,72.39,0.00,72.39,72.39,2021/05/17 14:34:17,2021/05/17 15:13:54,79,5.22118e-08,0.000,0,63,5.18694e-08,1.69775e-09,0,60,1.20275e-02,1.82351e-07,0,60,4.2564e-03,6.8332e-08,0,60,4.9699e-05,3.1172e-09,0,60,4.7568e-06,6.7292e-10,0,60,8.2831e-08,2.1235e-09,0,60,1.1973e-02,1.7644e-07,0,63,4.2058e-03,6.4510e-08,0,63,4.8901e-05,3.0717e-09,0,63,4.6464e-06,6.6124e-10,0,63,8.3155e-08,2.1397e-09,0,63,4.5785,0.0009,0,60,12.0267,0.0017,0,60,16.3009,0.0095,0,60,23.7595,0.0501,0,60,-1.2617,2.5767,0,60,1.5671,0.0009,0,60,6.0586,0.0016,0,60,-0.3038,0.0086,0,60,-0.4283,0.0488,0,60,-29.2025,2.5045,0,60,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13650 ETH-02.txt,ETH-02,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/17 16:55:35,391,3,1.2999e-07,3.324627E-10,CF,19.531,3.249e-02,1,3.1060e-02,14752, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.8020e-08,1.0558e-07,5.4815e-08,5.5096e-08,5.5045e-08,5.4915e-08,0.96,2021/05/17 16:54:50,0.24,6456,8446,3.2488e-02,46.011,20,8,20,20,0.000,-3.2644e-13,-1.4892e-13,-1.6588e-13,-8.3678e-14,4.6223e-14,7.9152e-12,20.00,20.00,72.39,-1.95e02,-1.67e02,72.39,0.00,72.39,72.39,2021/05/17 15:56:39,2021/05/17 16:36:21,79,3.65738e-08,0.000,0,63,3.62637e-08,1.05893e-09,0,60,1.18867e-02,1.02230e-07,0,60,4.1837e-03,3.4599e-08,0,60,4.8305e-05,3.6364e-09,0,60,4.6112e-06,1.3963e-09,0,60,8.9427e-08,2.3479e-09,0,60,1.1971e-02,1.0418e-07,0,63,4.2051e-03,3.7027e-08,0,63,4.8934e-05,3.6765e-09,0,63,4.6591e-06,1.3662e-09,0,63,9.2085e-08,2.2975e-09,0,63,-7.0352,0.0009,0,60,-5.1058,0.0014,0,60,-12.8506,0.0131,0,60,-10.2779,0.0739,0,60,-29.4057,3.3400,0,60,-10.1998,0.0009,0,60,-10.9657,0.0014,0,60,-0.6200,0.0135,0,60,-0.0934,0.0742,0,60,-12.1949,3.3986,0,60,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13651 ETH-04.txt,ETH-04,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/17 18:17:50,529,4,2.0383e-08,3.853062E-11,CF,0.458,3.249e-02,0,3.1766e-02,14752, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; SampleReady; (BeamTooBig_RunningMisBalanced) ;,3.7403e-08,1.0603e-07,1.9568e-08,8.3149e-08,8.3066e-08,8.2819e-08,0.96,2021/05/17 18:16:52,-47.77,8397,8446,3.2488e-02,46.011,20,8,20,20,0.000,-3.2469e-13,-1.4829e-13,-1.6482e-13,-8.6618e-14,3.9947e-14,7.2607e-12,26.00,28.00,72.39,-1.95e02,-1.73e02,72.39,0.00,72.39,72.39,2021/05/17 17:19:04,2021/05/17 17:58:45,79,2.10097e-08,0.000,0,63,1.12298e-08,4.41829e-10,0,60,1.18795e-02,2.31139e-07,0,60,4.1802e-03,1.4499e-07,0,60,4.8362e-05,5.2626e-09,0,60,4.6475e-06,4.3442e-09,0,60,2.0944e-07,1.5757e-08,0,60,1.1968e-02,1.9787e-07,0,63,4.2036e-03,1.1521e-07,0,63,4.8967e-05,3.6786e-09,0,63,4.6709e-06,2.7654e-09,0,63,1.4285e-07,8.5529e-09,0,63,-7.3779,0.0032,0,60,-5.5598,0.0078,0,60,-12.3562,0.0428,0,60,-5.0044,0.3896,0,60,391.0675,24.7863,0,60,-10.5488,0.0032,0,60,-11.4168,0.0078,0,60,0.6858,0.0470,0,60,6.1528,0.4012,0,60,417.5489,25.2778,0,60,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13652 MERCK.txt,MERCK,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/17 19:39:57,408,5,1.4528e-07,3.560841E-10,CF,21.606,3.177e-02,1,3.1766e-02,14784, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.7072e-08,1.0552e-07,6.0926e-08,6.1176e-08,6.1124e-08,6.0993e-08,0.96,2021/05/17 19:39:12,0.22,5898,8446,3.1766e-02,46.011,20,8,20,20,0.000,-3.2062e-13,-1.4672e-13,-1.6283e-13,-8.2752e-14,4.4793e-14,7.5397e-12,20.00,21.00,72.39,-1.95e02,-1.73e02,72.39,0.00,72.39,72.39,2021/05/17 18:41:32,2021/05/17 19:21:00,79,4.00823e-08,0.000,0,63,3.97433e-08,1.19528e-09,0,60,1.15294e-02,8.58272e-08,0,60,4.1960e-03,2.8169e-08,0,60,4.6951e-05,3.7122e-09,0,60,4.6372e-06,1.4505e-09,0,60,8.8584e-08,1.9637e-09,0,60,1.1971e-02,9.3700e-08,0,63,4.2050e-03,2.9047e-08,0,63,4.8928e-05,3.7243e-09,0,63,4.6575e-06,1.3996e-09,0,63,9.2817e-08,1.9817e-09,0,63,-36.8684,0.0010,0,60,-2.1605,0.0015,0,60,-40.4092,0.0108,0,60,-4.3604,0.0558,0,60,-45.4928,3.2314,0,60,-42.0526,0.0011,0,60,-7.9697,0.0015,0,60,-0.3883,0.0113,0,60,-0.0446,0.0559,0,60,-2.3198,3.3775,0,60,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13653 30-RJS-5159.1A.txt,30-RJS-5159.1A,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/17 21:02:05,514,6,1.7109e-07,3.328596E-10,CF,25.268,3.177e-02,1,3.1766e-02,14752, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.6418e-08,1.0576e-07,7.1072e-08,7.1260e-08,7.1220e-08,7.0981e-08,0.96,2021/05/17 21:01:19,0.34,5242,8446,3.1766e-02,46.007,20,8,20,20,0.000,-3.1855e-13,-1.4596e-13,-1.6185e-13,-7.9073e-14,5.2428e-14,8.0958e-12,21.00,22.00,72.39,-1.95e02,-1.72e02,72.39,0.00,72.39,72.39,2021/05/17 20:03:38,2021/05/17 20:43:08,79,4.57625e-08,0.000,0,63,4.54174e-08,1.42593e-09,0,60,1.20445e-02,1.02307e-07,0,60,4.2623e-03,2.5820e-08,0,60,4.9862e-05,3.6563e-09,0,60,4.7772e-06,1.5431e-09,0,60,8.3650e-08,2.4945e-09,0,60,1.1971e-02,9.2633e-08,0,63,4.2052e-03,2.0430e-08,0,63,4.8918e-05,3.6821e-09,0,63,4.6524e-06,1.5375e-09,0,63,8.3912e-08,2.5777e-09,0,63,6.1303,0.0011,0,60,13.5683,0.0019,0,60,19.3161,0.0116,0,60,26.8408,0.0544,0,60,0.2549,3.0542,0,60,3.1655,0.0011,0,60,7.5893,0.0018,0,60,-0.4297,0.0109,0,60,-0.4672,0.0521,0,60,-32.2247,2.9535,0,60,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13654 30-RJS-5159.1B.txt,30-RJS-5159.1B,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/17 22:24:21,530,7,1.9038e-07,3.591993E-10,CF,27.923,3.177e-02,1,3.1766e-02,14752, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.5735e-08,1.0544e-07,7.8808e-08,7.8507e-08,7.8425e-08,7.8233e-08,0.96,2021/05/17 22:23:36,0.24,4848,8446,3.1766e-02,46.009,20,8,20,20,0.000,-3.1500e-13,-1.4454e-13,-1.6000e-13,-7.5728e-14,5.7435e-14,8.2979e-12,22.00,22.00,72.39,-1.95e02,-1.71e02,72.39,0.00,72.39,72.39,2021/05/17 21:25:53,2021/05/17 22:05:15,79,4.97452e-08,0.000,0,63,4.93454e-08,1.59075e-09,0,60,1.20501e-02,1.19757e-07,0,60,4.2698e-03,4.3529e-08,0,60,4.9970e-05,2.6719e-09,0,60,4.7946e-06,9.2498e-10,0,60,7.8167e-08,1.1255e-09,0,60,1.1971e-02,1.1438e-07,0,63,4.2054e-03,3.8772e-08,0,63,4.8918e-05,2.8035e-09,0,63,4.6534e-06,8.7628e-10,0,63,7.8064e-08,1.1486e-09,0,63,6.5750,0.0009,0,60,15.3152,0.0020,0,60,21.5000,0.0104,0,60,30.3366,0.0506,0,60,2.3484,3.2233,0,60,3.5786,0.0009,0,60,9.3268,0.0020,0,60,-0.4396,0.0093,0,60,-0.5126,0.0495,0,60,-33.9327,3.1061,0,60,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13655 30-RJS-5159.1C.txt,30-RJS-5159.1C,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/17 23:46:38,461,8,1.0832e-08,2.349648E-11,CF,0.305,3.177e-02,0,3.1060e-02,14752, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; SampleReady; (BeamTooBig_RunningMisBalanced) ;,3.5048e-08,1.0585e-07,1.0396e-08,7.1260e-08,7.1220e-08,7.0981e-08,0.96,2021/05/17 23:45:41,-70.09,8398,8444,3.1766e-02,46.009,20,8,20,20,0.000,-3.1341e-13,-1.4378e-13,-1.5910e-13,-8.1223e-14,4.5168e-14,7.3296e-12,25.00,28.00,72.39,-1.95e02,-1.60e02,72.39,0.00,72.39,72.39,2021/05/17 22:48:00,2021/05/17 23:27:31,79,1.98378e-08,0.000,0,63,6.34473e-09,2.25781e-10,0,60,1.20431e-02,2.11280e-07,0,60,4.2647e-03,1.5659e-07,0,60,5.0094e-05,9.9250e-09,0,60,4.8845e-06,8.4816e-09,0,60,3.0561e-07,2.3439e-08,0,60,1.1967e-02,1.9059e-07,0,63,4.2031e-03,1.1302e-07,0,63,4.8967e-05,3.6360e-09,0,63,4.6780e-06,3.2456e-09,0,63,1.4089e-07,7.8611e-09,0,63,6.3868,0.0026,0,60,14.6404,0.0103,0,60,23.0104,0.1305,0,60,44.1032,1.1005,0,60,1013.7749,53.0298,0,60,3.4016,0.0025,0,60,8.6556,0.0102,0,60,1.8867,0.1355,0,60,14.1905,1.0843,0,60,943.8711,51.2201,0,60,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13656 ETH-03.txt,ETH-03,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/18 01:08:57,470,9,1.9898e-08,4.233687E-11,CF,0.549,3.177e-02,0,3.1060e-02,14752, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; BalanceRefToSamValue; SampleReady; (BeamTooBig_RunningMisBalanced) ;,3.4670e-08,1.0562e-07,1.9100e-08,7.8507e-08,7.8425e-08,7.8233e-08,0.96,2021/05/18 01:08:00,-45.05,8396,8449,3.1766e-02,46.009,20,8,20,20,0.000,-3.0940e-13,-1.4237e-13,-1.5719e-13,-8.1852e-14,4.1109e-14,6.8718e-12,26.00,28.00,72.39,-1.95e02,-1.59e02,72.39,0.00,72.39,72.39,2021/05/18 00:10:17,2021/05/18 00:49:48,78,1.96700e-08,0.000,0,63,1.09640e-08,4.29385e-10,0,60,1.20211e-02,2.26461e-07,0,60,4.2542e-03,1.6376e-07,0,60,4.9714e-05,1.0664e-08,0,60,4.7384e-06,9.2278e-09,0,60,-3.8673e-08,2.1254e-08,0,60,1.1967e-02,1.8913e-07,0,63,4.2031e-03,1.1351e-07,0,63,4.8908e-05,5.6718e-09,0,63,4.6311e-06,4.7177e-09,0,63,5.0234e-09,1.1599e-08,0,63,4.5487,0.0033,0,60,12.1563,0.0114,0,60,16.4772,0.1049,0,60,23.0549,0.9644,0,60,-2734.2481,3168.1867,0,60,1.5310,0.0031,0,60,6.1876,0.0114,0,60,-0.2258,0.0914,0,60,-1.3729,0.9243,0,60,-2685.7965,3079.3792,0,60,
C:\Nu Stable\Results\2021\20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,20210517 clumped Brazil Antoine powders Nova Olinda fracture FMM,Data_13657 ETH-02.txt,ETH-02,C:\Nu Stable\Analyses\DI\CO2 20-6-20 clumped NuCarb.rdf,Clumped CO2 Iterative,2021/05/17 14:10:44,2021/05/18 02:31:11,413,10,1.4063e-07,3.405178E-10,CF,21.057,3.249e-02,1,3.1766e-02,14752, InitialisePrepSampleRun; CheckIfCFRequired; UseCF; SampleTrapped; Chop_CF_SamSub; SampleTrapped; BalanceRefToSamValue; DepletingBalance; SampleReady;,3.4324e-08,1.0533e-07,5.9038e-08,5.9288e-08,5.9246e-08,5.9104e-08,0.96,2021/05/18 02:30:26,0.24,5698,8450,3.2488e-02,46.009,20,8,20,20,0.000,-3.1611e-13,-1.4521e-13,-1.6018e-13,-8.1847e-14,4.6009e-14,7.3788e-12,20.00,21.00,72.39,-1.95e02,-1.69e02,72.39,0.00,72.39,72.39,2021/05/18 01:32:35,2021/05/18 02:12:07,79,3.89989e-08,0.000,0,63,3.87037e-08,1.15350e-09,0,60,1.18866e-02,8.05201e-08,0,60,4.1837e-03,2.4653e-08,0,60,4.8234e-05,2.4590e-09,0,60,4.5538e-06,3.2947e-09,0,60,-3.3887e-08,8.5093e-09,0,60,1.1971e-02,7.8128e-08,0,63,4.2050e-03,2.6268e-08,0,63,4.8865e-05,2.3148e-09,0,63,4.6018e-06,3.1887e-09,0,63,-2.9177e-08,8.1181e-09,0,63,-7.0170,0.0007,0,60,-5.0619,0.0012,0,60,-12.9117,0.0125,0,60,-10.4499,0.0556,0,60,-10.3170,59.3834,0,60,-10.1820,0.0007,0,60,-10.9220,0.0012,0,60,-0.7441,0.0124,0,60,-0.3554,0.0560,0,60,7.1225,60.4305,0,60,
